"","x"
"penetr",48
"ridicul",48
"selfish",48
"twelv",48
"uneasi",48
"anecdot",47
"bustl",47
"caution",47
"congratul",47
"energi",47
"innoc",47
"leg",47
"speci",47
"temptat",47
"attract",46
"cheek",46
"correspond",46
"finger",46
"human",46
"list",46
"mixtur",46
"neglect",46
"occup",46
"perfect",46
"recept",46
"recommend",46
"resourc",46
"station",46
"think",46
"accent",45
"attend",45
"breath",45
"custom",45
"determin",45
"dressing-room",45
"hesit",45
"injustic",45
"mischief",45
"romanc",45
"size",45
"stay",45
"trust",45
"_him_",44
"assert",44
"candl",44
"chais",44
"cross",44
"curtain",44
"disgrac",44
"estim",44
"execut",44
"interfer",44
"landlord",44
"portrait",44
"reader",44
"secreci",44
"tis",44
"titl",44
"train",44
"trick",44
"bargain",43
"blow",43
"defenc",43
"discours",43
"fatigu",43
"galleri",43
"integr",43
"isabella",43
"modesti",43
"nerv",43
"parcel",43
"reward",43
"thousand",43
"_me_",42
"allianc",42
"associ",42
"attack",42
"creditor",42
"extent",42
"injuri",42
"inn",42
"mark",42
"princ",42
"proport",42
"shoulder",42
"stone",42
"sweet",42
"acknowledg",41
"blood",41
"build",41
"endeavour",41
"except",41
"ferrar",41
"individu",41
"need",41
"nobleman",41
"pretenc",41
"railleri",41
"recoveri",41
"skill",41
"top",41
"zeal",41
"approach",40
"castl",40
"close",40
"dozen",40
"envi",40
"footman",40
"lane",40
"manag",40
"method",40
"morrow",40
"nation",40
"novelti",40
"path",40
"sun",40
"-night",39
"accommod",39
"drive",39
"fever",39
"mysteri",39
"painter",39
"remaind",39
"retir",39
"solitud",39
"_i_",38
"attorney",38
"cabinet",38
"fame",38
"flower",38
"gentl",38
"good-natur",38
"heiress",38
"increas",38
"interrupt",38
"macaw",38
"matrimoni",38
"obstacl",38
"oper",38
"poet",38
"pretens",38
"staircas",38
"throat",38
"union",38
"allow",37
"captain",37
"conjectur",37
"dean",37
"diamond",37
"excel",37
"glori",37
"grief",37
"muse",37
"nurs",37
"pianofort",37
"search",37
"struggl",37
"adieu",36
"amaz",36
"amend",36
"burst",36
"candour",36
"capric",36
"citi",36
"confess",36
"copi",36
"evid",36
"moral",36
"self",36
"sleep",36
"tongu",36
"touch",36
"travel",36
"twelvemonth",36
"audienc",35
"board",35
"curricl",35
"farm",35
"foreign",35
"grandmoth",35
"leas",35
"philosoph",35
"raptur",35
"reach",35
"risk",35
"shrubberi",35
"steward",35
"_he_",34
"articl",34
"bar",34
"blame",34
"chamber",34
"defici",34
"enough",34
"expedi",34
"field",34
"guardian",34
"interview",34
"joke",34
"lesson",34
"pair",34
"second",34
"shade",34
"tide",34
"war",34
"anyon",33
"benefit",33
"bill",33
"capit",33
"childhood",33
"cordial",33
"cri",33
"cure",33
"defect",33
"extravag",33
"foundat",33
"govern",33
"hospit",33
"kitchen",33
"oath",33
"origin",33
"race",33
"realiti",33
"soldier",33
"stroke",33
"tomorrow",33
"abbey",32
"angel",32
"bedchamb",32
"bennet",32
"continu",32
"cook",32
"elect",32
"examin",32
"farewel",32
"fortitud",32
"gratif",32
"guard",32
"harp",32
"hatr",32
"inferior",32
"member",32
"necklac",32
"pace",32
"patient",32
"persever",32
"prayer",32
"prepossess",32
"prison",32
"steadi",32
"system",32
"wretched",32
"writer",32
"allus",31
"autumn",31
"blunder",31
"coachman",31
"collect",31
"courtier",31
"defer",31
"demand",31
"duke",31
"mention",31
"philosophi",31
"plate",31
"sailor",31
"scienc",31
"shoe",31
"substanc",31
"weight",31
"wig",31
"afflict",30
"barouch",30
"basket",30
"boot",30
"coquetri",30
"damm",30
"disadvantag",30
"display",30
"fall",30
"falsehood",30
"floor",30
"forbear",30
"forti",30
"freedom",30
"hold",30
"ingenu",30
"knee",30
"listen",30
"ornament",30
"phrase",30
"protect",30
"readi",30
"repetit",30
"reveri",30
"shawl",30
"solicitor",30
"speak",30
"univers",30
"amount",29
"appoint",29
"commend",29
"constanc",29
"cruelti",29
"desert",29
"economi",29
"escap",29
"glow",29
"graviti",29
"guilt",29
"heat",29
"improprieti",29
"jewel",29
"malic",29
"pencil",29
"priest",29
"prosper",29
"ring",29
"space",29
"violenc",29
"whiski",29
"actress",28
"adventur",28
"battl",28
"bet",28
"boat",28
"cover",28
"detail",28
"errand",28
"grave",28
"knight",28
"liber",28
"luxuri",28
"quantiti",28
"relationship",28
"spectacl",28
"specul",28
"suggest",28
"vulgar",28
"absurd",27
"advanc",27
"awkward",27
"calcul",27
"comprehens",27
"constitut",27
"coxcomb",27
"divis",27
"extrem",27
"gala",27
"good-wil",27
"gout",27
"grandeur",27
"grant",27
"inhabit",27
"instruct",27
"intrigu",27
"neck",27
"paint",27
"parliament",27
"punish",27
"ride",27
"roof",27
"shape",27
"sir--",27
"slave",27
"sport",27
"submiss",27
"task",27
"time--",27
"antipathi",26
"appeal",26
"assembl",26
"bishop",26
"bosom",26
"bye",26
"chariti",26
"complais",26
"conceal",26
"conquest",26
"dining-room",26
"excess",26
"generat",26
"gift",26
"glimps",26
"glossari",26
"good-humour",26
"gover",26
"impertin",26
"jest",26
"lamp",26
"lot",26
"maxim",26
"perplex",26
"plase",26
"privileg",26
"pupil",26
"purchas",26
"renew",26
"river",26
"rose",26
"sheet",26
"start",26
"treatment",26
"actor",25
"afternoon",25
"arch",25
"branch",25
"bullfinch",25
"campbel",25
"capac",25
"censur",25
"cloud",25
"coat",25
"darl",25
"disapprob",25
"diseas",25
"dissip",25
"duel",25
"ecstasi",25
"equipag",25
"exhibit",25
"flow",25
"hazard",25
"humil",25
"imag",25
"impuls",25
"navi",25
"penni",25
"percept",25
"pistol",25
"presumpt",25
"quick",25
"rapid",25
"reluct",25
"reproof",25
"revers",25
"satin",25
"ship",25
"snow",25
"speed",25
"topic",25
"alacr",24
"attitud",24
"bench",24
"benevol",24
"bond",24
"breakfast-room",24
"charad",24
"chief",24
"complac",24
"confer",24
"confin",24
"decorum",24
"drop",24
"englishman",24
"enquiri",24
"exchang",24
"farmer",24
"femal",24
"flutter",24
"fond",24
"group",24
"handkerchief",24
"holiday",24
"irrit",24
"owner",24
"postillion",24
"poverti",24
"reconcili",24
"rise",24
"scandal",24
"shill",24
"son--law",24
"tendenc",24
"thing--",24
"trade",24
"utmost",24
"acquiesc",23
"activ",23
"bottl",23
"chain",23
"clerk",23
"date",23
"despatch",23
"disdain",23
"elton",23
"familiar",23
"funer",23
"gloom",23
"hundr",23
"imposs",23
"kingdom",23
"luttridg",23
"medit",23
"project",23
"provis",23
"pump-room",23
"recours",23
"shock",23
"storm",23
"surpriz",23
"victori",23
"_must_",22
"appl",22
"bag",22
"bloom",22
"chaplain",22
"chuse",22
"comedi",22
"conceit",22
"disgust",22
"drink",22
"equal",22
"half-hour",22
"indol",22
"lawn",22
"mama",22
"miniatur",22
"poetri",22
"porter",22
"prize",22
"proceed",22
"reveng",22
"shadow",22
"shipwreck",22
"simpleton",22
"sixpenc",22
"stake",22
"timid",22
"tribut",22
"welcom",22
"_now_",21
"avers",21
"bank",21
"barrist",21
"brain",21
"chapel",21
"dark",21
"discont",21
"disput",21
"dupe",21
"friend--",21
"goodwil",21
"groom",21
"inch",21
"ingratitud",21
"knock",21
"lament",21
"medicin",21
"multitud",21
"plant",21
"princip",21
"self-command",21
"settlement",21
"sin",21
"specimen",21
"tenantri",21
"tragedi",21
"vivac",21
"wretch",21
"_will_",20
"abod",20
"annuiti",20
"applaus",20
"balanc",20
"clock",20
"confirm",20
"critic",20
"dirt",20
"dispos",20
"elbow",20
"ennui",20
"flame",20
"grand-daught",20
"grandfath",20
"grievanc",20
"horseback",20
"ill-wil",20
"induc",20
"judgement",20
"man--",20
"mob",20
"muslin",20
"pig",20
"plea",20
"pleas",20
"plenti",20
"print",20
"refer",20
"rehears",20
"resign",20
"sermon",20
"shake",20
"sister--law",20
"skin",20
"solemn",20
"spectat",20
"squir",20
"stock",20
"summon",20
"threat",20
"tour",20
"treacheri",20
"victim",20
"vow",20
"warn",20
"_not_",19
"-year",19
"aspect",19
"blind",19
"bonnet",19
"butler",19
"cloak",19
"cool",19
"crime",19
"defianc",19
"dish",19
"doctrin",19
"draught",19
"effus",19
"envoy",19
"fineri",19
"flatter",19
"front",19
"housemaid",19
"ill-humour",19
"indisposit",19
"insol",19
"know--",19
"laughter",19
"lieuten",19
"meadow",19
"meantim",19
"messeng",19
"narrat",19
"negro",19
"nose",19
"pamphlet",19
"promot",19
"protest",19
"remedi",19
"remonstr",19
"run",19
"say--",19
"signatur",19
"stupid",19
"tale",19
"today",19
"treasur",19
"trunk",19
"variat",19
"ventur",19
"wive",19
"_the",18
"_them_",18
"abund",18
"accept",18
"aid",18
"ambassador",18
"antechamb",18
"ardour",18
"auditor",18
"birthday",18
"boudoir",18
"breast",18
"card-tabl",18
"careless",18
"competit",18
"consult",18
"dear--",18
"denial",18
"downstair",18
"exult",18
"failur",18
"fair",18
"farth",18
"footstep",18
"fring",18
"fruit",18
"glove",18
"hardship",18
"harrowg",18
"lace",18
"lie",18
"lieutenant-colonel",18
"meal",18
"move",18
"nobil",18
"now--",18
"personag",18
"popular",18
"proprietor",18
"quest",18
"rage",18
"shister",18
"sketch",18
"stick",18
"store",18
"straw",18
"util",18
"valley",18
"velvet",18
"vessel",18
"vision",18
"waiter",18
"wast",18
"wing",18
"anguish",17
"awe",17
"banker",17
"bitter",17
"bread",17
"breed",17
"carpent",17
"china",17
"complianc",17
"condescens",17
"contempl",17
"contin",17
"dancer",17
"devot",17
"disord",17
"drawback",17
"duplic",17
"egg",17
"eleven",17
"fairi",17
"handwrit",17
"honesti",17
"inconsist",17
"insens",17
"invent",17
"jewess",17
"journal",17
"love--",17
"mankind",17
"meanwhil",17
"might",17
"misconduct",17
"muscl",17
"obstinaci",17
"opera",17
"pang",17
"pattern",17
"profit",17
"queen",17
"quiet",17
"receipt",17
"refresh",17
"repos",17
"rushworth",17
"schoolboy",17
"show",17
"stabl",17
"test",17
"till",17
"toilett",17
"welfar",17
"whip",17
"abhorr",16
"agreement",16
"appetit",16
"assent",16
"avaric",16
"beggar",16
"breach",16
"centuri",16
"chest",16
"clay",16
"coffe",16
"confidant",16
"constern",16
"coquett",16
"cow",16
"cut",16
"day--",16
"delacour",16
"diffid",16
"diplomatist",16
"duchess",16
"dwell",16
"emphasi",16
"flight",16
"forehead",16
"fright",16
"gestur",16
"guess",16
"harmoni",16
"headach",16
"hoop",16
"hypocrisi",16
"insult",16
"liveri",16
"mare",16
"masquerad",16
"moder",16
"mountain",16
"pale",16
"pass",16
"patro",16
"penanc",16
"process",16
"puls",16
"puppi",16
"purs",16
"remors",16
"scale",16
"score",16
"scream",16
"smell",16
"star",16
"stop",16
"stuff",16
"talker",16
"templ",16
"testimoni",16
"uncertainti",16
"unhappi",16
"unwilling",16
"veil",16
"vers",16
"wager",16
"wait",16
"wound",16
"_we_",15
"--oh",15
"alo",15
"altern",15
"anticip",15
"avenu",15
"beaux",15
"bid",15
"club",15
"council",15
"courtesi",15
"deceas",15
"destini",15
"detect",15
"dine",15
"disagr",15
"discern",15
"draperi",15
"dust",15
"elop",15
"forgiv",15
"gig",15
"gipsi",15
"gravel",15
"guid",15
"hotel",15
"instinct",15
"irishman",15
"juri",15
"languor",15
"life--",15
"mad",15
"magnanim",15
"marchio",15
"melancholi",15
"model",15
"mother--law",15
"perturb",15
"perus",15
"pervers",15
"petticoat",15
"phaeton",15
"pitch",15
"plantat",15
"pocket-book",15
"polici",15
"politician",15
"preacher",15
"preced",15
"privat",15
"rang",15
"releas",15
"religion",15
"retreat",15
"sagac",15
"say",15
"scholar",15
"silver",15
"sing",15
"spell",15
"supposit",15
"ten",15
"turkey",15
"wisdom",15
"world--",15
"_can_",14
"_they_",14
"affluenc",14
"apothecari",14
"artist",14
"ball-room",14
"base",14
"bound",14
"brother--law",14
"brute",14
"cabin",14
"car",14
"caricatur",14
"cash",14
"coachmak",14
"common-plac",14
"consist",14
"curat",14
"demonstr",14
"dilig",14
"dismay",14
"distrust",14
"disturb",14
"dominion",14
"endur",14
"esq",14
"eulogium",14
"foibl",14
"food",14
"formal",14
"fourteen",14
"good-breed",14
"greatcoat",14
"gun",14
"heap",14
"home--",14
"household",14
"humili",14
"idl",14
"intrus",14
"job",14
"knife",14
"knightley",14
"lawsuit",14
"level",14
"long",14
"lord--",14
"memorandum",14
"mind--",14
"moon",14
"movement",14
"nod",14
"occurr",14
"orat",14
"payment",14
"piano-fort",14
"poem",14
"preserv",14
"profus",14
"rascal",14
"ray",14
"refin",14
"reform",14
"saint",14
"sever",14
"shyness",14
"sky",14
"snuff",14
"statement",14
"suppli",14
"transport",14
"tune",14
"tyranni",14
"unkind",14
"ward",14
"wheel",14
"whim",14
"_in",13
"absente",13
"access",13
"adversari",13
"advertis",13
"affront",13
"ankl",13
"artific",13
"bear",13
"beau",13
"bog",13
"brow",13
"bundl",13
"cattl",13
"centr",13
"characterist",13
"chat",13
"check",13
"chees",13
"client",13
"closet",13
"composit",13
"connoisseur",13
"contradict",13
"contriv",13
"creation",13
"darevill",13
"declin",13
"deject",13
"executor",13
"feather",13
"fidel",13
"flirtat",13
"frame",13
"fraud",13
"fun",13
"grandmama",13
"hang",13
"inconst",13
"incumb",13
"injunct",13
"iron",13
"island",13
"jointur",13
"leviti",13
"likelihood",13
"manuscript",13
"matter--",13
"mirth",13
"neglig",13
"oak",13
"parad",13
"possessor",13
"precaut",13
"rich",13
"rogu",13
"row",13
"sale",13
"sash",13
"similar",13
"stanhop",13
"suckl",13
"supplic",13
"surmis",13
"theori",13
"toil",13
"tyrant",13
"unreserv",13
"well--",13
"weston",13
"_there_",12
"_us_",12
"--""",12
"acquisit",12
"acr",12
"agenc",12
"band",12
"bath",12
"black",12
"bliss",12
"boast",12
"bone",12
"borough",12
"burgundi",12
"butcher",12
"butter",12
"cap",12
"career",12
"celer",12
"character--",12
"childer",12
"chimney",12
"chorus",12
"comment",12
"compromis",12
"constraint",12
"contract",12
"cost",12
"countrymen",12
"curs",12
"decept",12
"dialogu",12
"dining-parlour",12
"disguis",12
"disinterested",12
"dispar",12
"divorc",12
"draft",12
"drawer",12
"editor",12
"exagger",12
"faculti",12
"fee",12
"fellow-creatur",12
"goat",12
"heart--",12
"heroism",12
"horn",12
"house--",12
"imit",12
"impud",12
"invalid",12
"lase",12
"laudanum",12
"leaf",12
"left",12
"limb",12
"limit",12
"liveli",12
"maistr",12
"market",12
"marqui",12
"meat",12
"misrepresent",12
"moonlight",12
"murder",12
"negoti",12
"nothing--",12
"object--",12
"obscur",12
"pack",12
"paragraph",12
"patriot",12
"posit",12
"post-offic",12
"precipit",12
"premis",12
"privaci",12
"propens",12
"prose",12
"proverb",12
"punch",12
"punctual",12
"recit",12
"rein",12
"repair",12
"resist",12
"review",12
"ribbon",12
"room--",12
"scrape",12
"shelter",12
"silk",12
"smoke",12
"sovereign",12
"statesman",12
"stomach",12
"stream",12
"string",12
"ticket",12
"torment",12
"tribe",12
"turf",12
"twenty-four",12
"urgenc",12
"us--",12
"vicarag",12
"vigour",12
"villain",12
"waggon",12
"way--",12
"workmen",12
"abat",11
"accus",11
"advers",11
"advoc",11
"alloy",11
"babi",11
"bachelor",11
"ballroom",11
"behalf",11
"billiard",11
"blockhead",11
"bridg",11
"bumper",11
"business--",11
"campaign",11
"candid",11
"cart",11
"chess",11
"combin",11
"committe",11
"concurr",11
"condol",11
"coronet",11
"cup",11
"damsel",11
"defend",11
"develop",11
"dinner-tim",11
"disinclin",11
"driver",11
"encumbr",11
"english",11
"excurs",11
"faint",11
"father--",11
"forest",11
"fortune--",11
"frenchman",11
"frolic",11
"gentil",11
"gentri",11
"good-by",11
"gossip",11
"great",11
"grove",11
"hedg",11
"hereaft",11
"hunt",11
"hunter",11
"infant",11
"inspect",11
"intellect",11
"jantleman",11
"kitti",11
"knoll",11
"mail",11
"manoeuvr",11
"marbl",11
"mask",11
"match-mak",11
"mild",11
"millin",11
"mine--",11
"misunderstand",11
"morning--",11
"mother--",11
"murmur",11
"mutton",11
"one--",11
"panegyr",11
"perci",11
"perfum",11
"pinch",11
"pint",11
"piqu",11
"player",11
"postscript",11
"potato",11
"puriti",11
"requisit",11
"robe",11
"rock",11
"rout",11
"rubber",11
"sanction",11
"screen",11
"seclus",11
"self-reproach",11
"signal",11
"singer",11
"sink",11
"soft",11
"sphere",11
"strain",11
"tent",11
"timber",11
"trace",11
"troop",11
"vehem",11
"wake",11
"wreck",11
"_had_",10
"_his_",10
"_one_",10
"_this_",10
"--mrs",10
":--",10
"&nbsp",10
"abbé",10
"abus",10
"acquir",10
"adieus",10
"admitt",10
"advis",10
"altar",10
"anoth",10
"away--",10
"bearer",10
"blank",10
"brink",10
"channel",10
"chariot",10
"chicken",10
"climat",10
"coincid",10
"collat",10
"come--",10
"crisi",10
"cross-examin",10
"crown",10
"cun",10
"daughter--law",10
"deaneri",10
"degrad",10
"delus",10
"descent",10
"dictat",10
"dismiss",10
"disrespect",10
"dissatisfact",10
"dissimul",10
"ditch",10
"dockyard",10
"eat",10
"elev",10
"emin",10
"enough--",10
"flirt",10
"footmen",10
"forward",10
"frost",10
"furi",10
"gale",10
"gauger",10
"gentlewoman",10
"goddess",10
"grandson",10
"grass",10
"idiot",10
"illus",10
"inattent",10
"incredul",10
"indelicaci",10
"ink",10
"jail",10
"jaunting-car",10
"lady--",10
"lap",10
"lead",10
"lectur",10
"legaci",10
"linen",10
"love_",10
"merriment",10
"militia",10
"ministri",10
"moment--",10
"monster",10
"mortal",10
"motto",10
"novic",10
"nursery-maid",10
"pavement",10
"pay",10
"peculiar",10
"peril",10
"pin",10
"pipe",10
"portfolio",10
"prey",10
"propheci",10
"question--",10
"relianc",10
"roug",10
"rumour",10
"saloon",10
"save",10
"sceneri",10
"self-complac",10
"self-deni",10
"seri",10
"sheriff",10
"shylock",10
"sick",10
"skeleton",10
"soup",10
"splendour",10
"strawberri",10
"sublim",10
"successor",10
"summit",10
"sweep",10
"tea-th",10
"termin",10
"tete--tet",10
"toast",10
"tortur",10
"tradesman",10
"uniform",10
"vice",10
"vicin",10
"villa",10
"vote",10
"waistcoat",10
"wicked",10
"wilder",10
